"","date","nox","site","code"
"1",2009-06-15 00:00:00,8,"Blackburn Darwen Roadside","BLCB"
"2",2009-06-15 01:00:00,11,"Blackburn Darwen Roadside","BLCB"
"3",2009-06-15 02:00:00,29,"Blackburn Darwen Roadside","BLCB"
"4",2009-06-15 03:00:00,48,"Blackburn Darwen Roadside","BLCB"
"5",2009-06-15 04:00:00,96,"Blackburn Darwen Roadside","BLCB"
"6",2009-06-15 05:00:00,86,"Blackburn Darwen Roadside","BLCB"
"7",2009-06-15 06:00:00,96,"Blackburn Darwen Roadside","BLCB"
"8",2009-06-15 07:00:00,122,"Blackburn Darwen Roadside","BLCB"
"9",2009-06-15 08:00:00,97,"Blackburn Darwen Roadside","BLCB"
"10",2009-06-15 09:00:00,NA,"Blackburn Darwen Roadside","BLCB"
"11",2009-06-15 10:00:00,92,"Blackburn Darwen Roadside","BLCB"
"12",2009-06-15 11:00:00,120,"Blackburn Darwen Roadside","BLCB"
"13",2009-06-15 12:00:00,53,"Blackburn Darwen Roadside","BLCB"
"14",2009-06-15 13:00:00,130,"Blackburn Darwen Roadside","BLCB"
"15",2009-06-15 14:00:00,105,"Blackburn Darwen Roadside","BLCB"
"16",2009-06-15 15:00:00,109,"Blackburn Darwen Roadside","BLCB"
"17",2009-06-15 16:00:00,97,"Blackburn Darwen Roadside","BLCB"
"18",2009-06-15 17:00:00,61,"Blackburn Darwen Roadside","BLCB"
"19",2009-06-15 18:00:00,36,"Blackburn Darwen Roadside","BLCB"
"20",2009-06-15 19:00:00,25,"Blackburn Darwen Roadside","BLCB"
"21",2009-06-15 20:00:00,31,"Blackburn Darwen Roadside","BLCB"
"22",2009-06-15 21:00:00,34,"Blackburn Darwen Roadside","BLCB"
"23",2009-06-15 22:00:00,71,"Blackburn Darwen Roadside","BLCB"
"24",2009-06-15 23:00:00,50,"Blackburn Darwen Roadside","BLCB"
"25",2009-06-16 00:00:00,48,"Blackburn Darwen Roadside","BLCB"
"26",2009-06-16 01:00:00,23,"Blackburn Darwen Roadside","BLCB"
"27",2009-06-16 02:00:00,27,"Blackburn Darwen Roadside","BLCB"
"28",2009-06-16 03:00:00,48,"Blackburn Darwen Roadside","BLCB"
"29",2009-06-16 04:00:00,34,"Blackburn Darwen Roadside","BLCB"
"30",2009-06-16 05:00:00,53,"Blackburn Darwen Roadside","BLCB"
"31",2009-06-16 06:00:00,141,"Blackburn Darwen Roadside","BLCB"
"32",2009-06-16 07:00:00,136,"Blackburn Darwen Roadside","BLCB"
"33",2009-06-16 08:00:00,52,"Blackburn Darwen Roadside","BLCB"
"34",2009-06-16 09:00:00,50,"Blackburn Darwen Roadside","BLCB"
"35",2009-06-16 10:00:00,55,"Blackburn Darwen Roadside","BLCB"
"36",2009-06-16 11:00:00,73,"Blackburn Darwen Roadside","BLCB"
"37",2009-06-16 12:00:00,40,"Blackburn Darwen Roadside","BLCB"
"38",2009-06-16 13:00:00,27,"Blackburn Darwen Roadside","BLCB"
"39",2009-06-16 14:00:00,38,"Blackburn Darwen Roadside","BLCB"
"40",2009-06-16 15:00:00,42,"Blackburn Darwen Roadside","BLCB"
"41",2009-06-16 16:00:00,55,"Blackburn Darwen Roadside","BLCB"
"42",2009-06-16 17:00:00,36,"Blackburn Darwen Roadside","BLCB"
"43",2009-06-16 18:00:00,19,"Blackburn Darwen Roadside","BLCB"
"44",2009-06-16 19:00:00,31,"Blackburn Darwen Roadside","BLCB"
"45",2009-06-16 20:00:00,53,"Blackburn Darwen Roadside","BLCB"
"46",2009-06-16 21:00:00,29,"Blackburn Darwen Roadside","BLCB"
"47",2009-06-16 22:00:00,67,"Blackburn Darwen Roadside","BLCB"
"48",2009-06-16 23:00:00,40,"Blackburn Darwen Roadside","BLCB"
"49",2009-06-17 00:00:00,21,"Blackburn Darwen Roadside","BLCB"
"50",2009-06-17 01:00:00,15,"Blackburn Darwen Roadside","BLCB"
"51",2009-06-17 02:00:00,17,"Blackburn Darwen Roadside","BLCB"
"52",2009-06-17 03:00:00,15,"Blackburn Darwen Roadside","BLCB"
"53",2009-06-17 04:00:00,10,"Blackburn Darwen Roadside","BLCB"
"54",2009-06-17 05:00:00,21,"Blackburn Darwen Roadside","BLCB"
"55",2009-06-17 06:00:00,53,"Blackburn Darwen Roadside","BLCB"
"56",2009-06-17 07:00:00,96,"Blackburn Darwen Roadside","BLCB"
"57",2009-06-17 08:00:00,59,"Blackburn Darwen Roadside","BLCB"
"58",2009-06-17 09:00:00,61,"Blackburn Darwen Roadside","BLCB"
"59",2009-06-17 10:00:00,42,"Blackburn Darwen Roadside","BLCB"
"60",2009-06-17 11:00:00,NA,"Blackburn Darwen Roadside","BLCB"
"61",2009-06-17 12:00:00,32,"Blackburn Darwen Roadside","BLCB"
"62",2009-06-17 13:00:00,15,"Blackburn Darwen Roadside","BLCB"
"63",2009-06-17 14:00:00,17,"Blackburn Darwen Roadside","BLCB"
"64",2009-06-17 15:00:00,17,"Blackburn Darwen Roadside","BLCB"
"65",2009-06-17 16:00:00,34,"Blackburn Darwen Roadside","BLCB"
"66",2009-06-17 17:00:00,61,"Blackburn Darwen Roadside","BLCB"
"67",2009-06-17 18:00:00,42,"Blackburn Darwen Roadside","BLCB"
"68",2009-06-17 19:00:00,19,"Blackburn Darwen Roadside","BLCB"
"69",2009-06-17 20:00:00,8,"Blackburn Darwen Roadside","BLCB"
"70",2009-06-17 21:00:00,13,"Blackburn Darwen Roadside","BLCB"
"71",2009-06-17 22:00:00,17,"Blackburn Darwen Roadside","BLCB"
"72",2009-06-17 23:00:00,6,"Blackburn Darwen Roadside","BLCB"
"73",2009-06-18 00:00:00,4,"Blackburn Darwen Roadside","BLCB"
"74",2009-06-18 01:00:00,6,"Blackburn Darwen Roadside","BLCB"
"75",2009-06-18 02:00:00,8,"Blackburn Darwen Roadside","BLCB"
"76",2009-06-18 03:00:00,10,"Blackburn Darwen Roadside","BLCB"
"77",2009-06-18 04:00:00,4,"Blackburn Darwen Roadside","BLCB"
"78",2009-06-18 05:00:00,6,"Blackburn Darwen Roadside","BLCB"
"79",2009-06-18 06:00:00,6,"Blackburn Darwen Roadside","BLCB"
"80",2009-06-18 07:00:00,6,"Blackburn Darwen Roadside","BLCB"
"81",2009-06-18 08:00:00,8,"Blackburn Darwen Roadside","BLCB"
"82",2009-06-18 09:00:00,6,"Blackburn Darwen Roadside","BLCB"
"83",2009-06-18 10:00:00,8,"Blackburn Darwen Roadside","BLCB"
"84",2009-06-18 11:00:00,NA,"Blackburn Darwen Roadside","BLCB"
"85",2009-06-18 12:00:00,10,"Blackburn Darwen Roadside","BLCB"
"86",2009-06-18 13:00:00,2,"Blackburn Darwen Roadside","BLCB"
"87",2009-06-18 14:00:00,13,"Blackburn Darwen Roadside","BLCB"
"88",2009-06-18 15:00:00,6,"Blackburn Darwen Roadside","BLCB"
"89",2009-06-18 16:00:00,8,"Blackburn Darwen Roadside","BLCB"
"90",2009-06-18 17:00:00,6,"Blackburn Darwen Roadside","BLCB"
"91",2009-06-18 18:00:00,6,"Blackburn Darwen Roadside","BLCB"
"92",2009-06-18 19:00:00,4,"Blackburn Darwen Roadside","BLCB"
"93",2009-06-18 20:00:00,6,"Blackburn Darwen Roadside","BLCB"
"94",2009-06-18 21:00:00,6,"Blackburn Darwen Roadside","BLCB"
"95",2009-06-18 22:00:00,8,"Blackburn Darwen Roadside","BLCB"
"96",2009-06-18 23:00:00,8,"Blackburn Darwen Roadside","BLCB"
"97",2009-06-19 00:00:00,4,"Blackburn Darwen Roadside","BLCB"
"98",2009-06-19 01:00:00,4,"Blackburn Darwen Roadside","BLCB"
"99",2009-06-19 02:00:00,4,"Blackburn Darwen Roadside","BLCB"
"100",2009-06-19 03:00:00,2,"Blackburn Darwen Roadside","BLCB"
"101",2009-06-19 04:00:00,2,"Blackburn Darwen Roadside","BLCB"
"102",2009-06-19 05:00:00,27,"Blackburn Darwen Roadside","BLCB"
"103",2009-06-19 06:00:00,46,"Blackburn Darwen Roadside","BLCB"
"104",2009-06-19 07:00:00,50,"Blackburn Darwen Roadside","BLCB"
"105",2009-06-19 08:00:00,40,"Blackburn Darwen Roadside","BLCB"
"106",2009-06-19 09:00:00,NA,"Blackburn Darwen Roadside","BLCB"
"107",2009-06-19 10:00:00,36,"Blackburn Darwen Roadside","BLCB"
"108",2009-06-19 11:00:00,48,"Blackburn Darwen Roadside","BLCB"
"109",2009-06-19 12:00:00,44,"Blackburn Darwen Roadside","BLCB"
"110",2009-06-19 13:00:00,40,"Blackburn Darwen Roadside","BLCB"
"111",2009-06-19 14:00:00,40,"Blackburn Darwen Roadside","BLCB"
"112",2009-06-19 15:00:00,52,"Blackburn Darwen Roadside","BLCB"
"113",2009-06-19 16:00:00,46,"Blackburn Darwen Roadside","BLCB"
"114",2009-06-19 17:00:00,42,"Blackburn Darwen Roadside","BLCB"
"115",2009-06-19 18:00:00,25,"Blackburn Darwen Roadside","BLCB"
"116",2009-06-19 19:00:00,23,"Blackburn Darwen Roadside","BLCB"
"117",2009-06-19 20:00:00,15,"Blackburn Darwen Roadside","BLCB"
"118",2009-06-19 21:00:00,10,"Blackburn Darwen Roadside","BLCB"
"119",2009-06-19 22:00:00,8,"Blackburn Darwen Roadside","BLCB"
"120",2009-06-19 23:00:00,10,"Blackburn Darwen Roadside","BLCB"
"121",2009-06-20 00:00:00,11,"Blackburn Darwen Roadside","BLCB"
"122",2009-06-20 01:00:00,6,"Blackburn Darwen Roadside","BLCB"
"123",2009-06-20 02:00:00,8,"Blackburn Darwen Roadside","BLCB"
"124",2009-06-20 03:00:00,4,"Blackburn Darwen Roadside","BLCB"
"125",2009-06-20 04:00:00,4,"Blackburn Darwen Roadside","BLCB"
"126",2009-06-20 05:00:00,11,"Blackburn Darwen Roadside","BLCB"
"127",2009-06-20 06:00:00,23,"Blackburn Darwen Roadside","BLCB"
"128",2009-06-20 07:00:00,23,"Blackburn Darwen Roadside","BLCB"
"129",2009-06-20 08:00:00,25,"Blackburn Darwen Roadside","BLCB"
"130",2009-06-20 09:00:00,27,"Blackburn Darwen Roadside","BLCB"
"131",2009-06-20 10:00:00,32,"Blackburn Darwen Roadside","BLCB"
"132",2009-06-20 11:00:00,NA,"Blackburn Darwen Roadside","BLCB"
"133",2009-06-20 12:00:00,27,"Blackburn Darwen Roadside","BLCB"
"134",2009-06-20 13:00:00,27,"Blackburn Darwen Roadside","BLCB"
"135",2009-06-20 14:00:00,17,"Blackburn Darwen Roadside","BLCB"
"136",2009-06-20 15:00:00,17,"Blackburn Darwen Roadside","BLCB"
"137",2009-06-20 16:00:00,15,"Blackburn Darwen Roadside","BLCB"
"138",2009-06-20 17:00:00,15,"Blackburn Darwen Roadside","BLCB"
"139",2009-06-20 18:00:00,17,"Blackburn Darwen Roadside","BLCB"
"140",2009-06-20 19:00:00,13,"Blackburn Darwen Roadside","BLCB"
"141",2009-06-20 20:00:00,17,"Blackburn Darwen Roadside","BLCB"
"142",2009-06-20 21:00:00,8,"Blackburn Darwen Roadside","BLCB"
"143",2009-06-20 22:00:00,8,"Blackburn Darwen Roadside","BLCB"
"144",2009-06-20 23:00:00,8,"Blackburn Darwen Roadside","BLCB"
"145",2009-06-21 00:00:00,6,"Blackburn Darwen Roadside","BLCB"
"146",2009-06-21 01:00:00,6,"Blackburn Darwen Roadside","BLCB"
"147",2009-06-21 02:00:00,6,"Blackburn Darwen Roadside","BLCB"
"148",2009-06-21 03:00:00,4,"Blackburn Darwen Roadside","BLCB"
"149",2009-06-21 04:00:00,6,"Blackburn Darwen Roadside","BLCB"
"150",2009-06-21 05:00:00,8,"Blackburn Darwen Roadside","BLCB"
"151",2009-06-21 06:00:00,11,"Blackburn Darwen Roadside","BLCB"
"152",2009-06-21 07:00:00,19,"Blackburn Darwen Roadside","BLCB"
"153",2009-06-21 08:00:00,19,"Blackburn Darwen Roadside","BLCB"
"154",2009-06-21 09:00:00,29,"Blackburn Darwen Roadside","BLCB"
"155",2009-06-21 10:00:00,25,"Blackburn Darwen Roadside","BLCB"
"156",2009-06-21 11:00:00,NA,"Blackburn Darwen Roadside","BLCB"
"157",2009-06-21 12:00:00,29,"Blackburn Darwen Roadside","BLCB"
