"","date","nox","site","code"
"1",2009-01-01 00:00:00,44,"Blackpool Marton","BLC2"
"2",2009-01-01 01:00:00,50,"Blackpool Marton","BLC2"
"3",2009-01-01 02:00:00,73,"Blackpool Marton","BLC2"
"4",2009-01-01 03:00:00,80,"Blackpool Marton","BLC2"
"5",2009-01-01 04:00:00,67,"Blackpool Marton","BLC2"
"6",2009-01-01 05:00:00,57,"Blackpool Marton","BLC2"
"7",2009-01-01 06:00:00,57,"Blackpool Marton","BLC2"
"8",2009-01-01 07:00:00,61,"Blackpool Marton","BLC2"
"9",2009-01-01 08:00:00,52,"Blackpool Marton","BLC2"
"10",2009-01-01 09:00:00,53,"Blackpool Marton","BLC2"
"11",2009-01-01 10:00:00,42,"Blackpool Marton","BLC2"
"12",2009-01-01 11:00:00,55,"Blackpool Marton","BLC2"
"13",2009-01-01 12:00:00,63,"Blackpool Marton","BLC2"
"14",2009-01-01 13:00:00,57,"Blackpool Marton","BLC2"
"15",2009-01-01 14:00:00,55,"Blackpool Marton","BLC2"
"16",2009-01-01 15:00:00,61,"Blackpool Marton","BLC2"
"17",2009-01-01 16:00:00,71,"Blackpool Marton","BLC2"
"18",2009-01-01 17:00:00,74,"Blackpool Marton","BLC2"
"19",2009-01-01 18:00:00,90,"Blackpool Marton","BLC2"
"20",2009-01-01 19:00:00,88,"Blackpool Marton","BLC2"
"21",2009-01-01 20:00:00,138,"Blackpool Marton","BLC2"
"22",2009-01-01 21:00:00,115,"Blackpool Marton","BLC2"
"23",2009-01-01 22:00:00,101,"Blackpool Marton","BLC2"
"24",2009-01-01 23:00:00,84,"Blackpool Marton","BLC2"
"25",2009-01-02 00:00:00,50,"Blackpool Marton","BLC2"
"26",2009-01-02 01:00:00,46,"Blackpool Marton","BLC2"
"27",2009-01-02 02:00:00,32,"Blackpool Marton","BLC2"
"28",2009-01-02 03:00:00,29,"Blackpool Marton","BLC2"
"29",2009-01-02 04:00:00,23,"Blackpool Marton","BLC2"
"30",2009-01-02 05:00:00,21,"Blackpool Marton","BLC2"
"31",2009-01-02 06:00:00,31,"Blackpool Marton","BLC2"
"32",2009-01-02 07:00:00,73,"Blackpool Marton","BLC2"
"33",2009-01-02 08:00:00,118,"Blackpool Marton","BLC2"
"34",2009-01-02 09:00:00,34,"Blackpool Marton","BLC2"
"35",2009-01-02 10:00:00,15,"Blackpool Marton","BLC2"
"36",2009-01-02 11:00:00,11,"Blackpool Marton","BLC2"
"37",2009-01-02 12:00:00,17,"Blackpool Marton","BLC2"
"38",2009-01-02 13:00:00,19,"Blackpool Marton","BLC2"
"39",2009-01-02 14:00:00,23,"Blackpool Marton","BLC2"
"40",2009-01-02 15:00:00,19,"Blackpool Marton","BLC2"
"41",2009-01-02 16:00:00,29,"Blackpool Marton","BLC2"
"42",2009-01-02 17:00:00,27,"Blackpool Marton","BLC2"
"43",2009-01-02 18:00:00,31,"Blackpool Marton","BLC2"
"44",2009-01-02 19:00:00,25,"Blackpool Marton","BLC2"
"45",2009-01-02 20:00:00,21,"Blackpool Marton","BLC2"
"46",2009-01-02 21:00:00,23,"Blackpool Marton","BLC2"
"47",2009-01-02 22:00:00,21,"Blackpool Marton","BLC2"
"48",2009-01-02 23:00:00,17,"Blackpool Marton","BLC2"
"49",2009-01-03 00:00:00,8,"Blackpool Marton","BLC2"
"50",2009-01-03 01:00:00,8,"Blackpool Marton","BLC2"
"51",2009-01-03 02:00:00,10,"Blackpool Marton","BLC2"
"52",2009-01-03 03:00:00,8,"Blackpool Marton","BLC2"
"53",2009-01-03 04:00:00,10,"Blackpool Marton","BLC2"
"54",2009-01-03 05:00:00,15,"Blackpool Marton","BLC2"
"55",2009-01-03 06:00:00,23,"Blackpool Marton","BLC2"
"56",2009-01-03 07:00:00,21,"Blackpool Marton","BLC2"
"57",2009-01-03 08:00:00,23,"Blackpool Marton","BLC2"
"58",2009-01-03 09:00:00,38,"Blackpool Marton","BLC2"
"59",2009-01-03 10:00:00,50,"Blackpool Marton","BLC2"
"60",2009-01-03 11:00:00,76,"Blackpool Marton","BLC2"
"61",2009-01-03 12:00:00,92,"Blackpool Marton","BLC2"
"62",2009-01-03 13:00:00,65,"Blackpool Marton","BLC2"
"63",2009-01-03 14:00:00,40,"Blackpool Marton","BLC2"
"64",2009-01-03 15:00:00,36,"Blackpool Marton","BLC2"
"65",2009-01-03 16:00:00,40,"Blackpool Marton","BLC2"
"66",2009-01-03 17:00:00,34,"Blackpool Marton","BLC2"
"67",2009-01-03 18:00:00,32,"Blackpool Marton","BLC2"
"68",2009-01-03 19:00:00,31,"Blackpool Marton","BLC2"
"69",2009-01-03 20:00:00,27,"Blackpool Marton","BLC2"
