"","date","nox","site","code"
"1",2009-01-01 00:00:00,NA,"Nottingham Centre","NOTT"
"2",2009-01-01 01:00:00,193,"Nottingham Centre","NOTT"
"3",2009-01-01 02:00:00,174,"Nottingham Centre","NOTT"
"4",2009-01-01 03:00:00,191,"Nottingham Centre","NOTT"
"5",2009-01-01 04:00:00,168,"Nottingham Centre","NOTT"
"6",2009-01-01 05:00:00,124,"Nottingham Centre","NOTT"
"7",2009-01-01 06:00:00,113,"Nottingham Centre","NOTT"
"8",2009-01-01 07:00:00,145,"Nottingham Centre","NOTT"
"9",2009-01-01 08:00:00,120,"Nottingham Centre","NOTT"
"10",2009-01-01 09:00:00,97,"Nottingham Centre","NOTT"
"11",2009-01-01 10:00:00,80,"Nottingham Centre","NOTT"
"12",2009-01-01 11:00:00,78,"Nottingham Centre","NOTT"
"13",2009-01-01 12:00:00,86,"Nottingham Centre","NOTT"
"14",2009-01-01 13:00:00,96,"Nottingham Centre","NOTT"
"15",2009-01-01 14:00:00,97,"Nottingham Centre","NOTT"
"16",2009-01-01 15:00:00,94,"Nottingham Centre","NOTT"
"17",2009-01-01 16:00:00,136,"Nottingham Centre","NOTT"
"18",2009-01-01 17:00:00,130,"Nottingham Centre","NOTT"
"19",2009-01-01 18:00:00,105,"Nottingham Centre","NOTT"
"20",2009-01-01 19:00:00,94,"Nottingham Centre","NOTT"
"21",2009-01-01 20:00:00,96,"Nottingham Centre","NOTT"
"22",2009-01-01 21:00:00,82,"Nottingham Centre","NOTT"
"23",2009-01-01 22:00:00,71,"Nottingham Centre","NOTT"
"24",2009-01-01 23:00:00,74,"Nottingham Centre","NOTT"
"25",2009-01-02 00:00:00,80,"Nottingham Centre","NOTT"
"26",2009-01-02 01:00:00,52,"Nottingham Centre","NOTT"
"27",2009-01-02 02:00:00,48,"Nottingham Centre","NOTT"
"28",2009-01-02 03:00:00,32,"Nottingham Centre","NOTT"
"29",2009-01-02 04:00:00,31,"Nottingham Centre","NOTT"
"30",2009-01-02 05:00:00,31,"Nottingham Centre","NOTT"
"31",2009-01-02 06:00:00,40,"Nottingham Centre","NOTT"
"32",2009-01-02 07:00:00,48,"Nottingham Centre","NOTT"
"33",2009-01-02 08:00:00,65,"Nottingham Centre","NOTT"
"34",2009-01-02 09:00:00,96,"Nottingham Centre","NOTT"
"35",2009-01-02 10:00:00,69,"Nottingham Centre","NOTT"
"36",2009-01-02 11:00:00,69,"Nottingham Centre","NOTT"
"37",2009-01-02 12:00:00,61,"Nottingham Centre","NOTT"
"38",2009-01-02 13:00:00,55,"Nottingham Centre","NOTT"
"39",2009-01-02 14:00:00,69,"Nottingham Centre","NOTT"
"40",2009-01-02 15:00:00,88,"Nottingham Centre","NOTT"
"41",2009-01-02 16:00:00,99,"Nottingham Centre","NOTT"
"42",2009-01-02 17:00:00,84,"Nottingham Centre","NOTT"
"43",2009-01-02 18:00:00,71,"Nottingham Centre","NOTT"
"44",2009-01-02 19:00:00,55,"Nottingham Centre","NOTT"
"45",2009-01-02 20:00:00,55,"Nottingham Centre","NOTT"
"46",2009-01-02 21:00:00,52,"Nottingham Centre","NOTT"
"47",2009-01-02 22:00:00,52,"Nottingham Centre","NOTT"
"48",2009-01-02 23:00:00,59,"Nottingham Centre","NOTT"
"49",2009-01-03 00:00:00,53,"Nottingham Centre","NOTT"
"50",2009-01-03 01:00:00,44,"Nottingham Centre","NOTT"
"51",2009-01-03 02:00:00,42,"Nottingham Centre","NOTT"
"52",2009-01-03 03:00:00,55,"Nottingham Centre","NOTT"
"53",2009-01-03 04:00:00,44,"Nottingham Centre","NOTT"
"54",2009-01-03 05:00:00,101,"Nottingham Centre","NOTT"
"55",2009-01-03 06:00:00,90,"Nottingham Centre","NOTT"
"56",2009-01-03 07:00:00,113,"Nottingham Centre","NOTT"
"57",2009-01-03 08:00:00,265,"Nottingham Centre","NOTT"
"58",2009-01-03 09:00:00,139,"Nottingham Centre","NOTT"
"59",2009-01-03 10:00:00,130,"Nottingham Centre","NOTT"
"60",2009-01-03 11:00:00,101,"Nottingham Centre","NOTT"
"61",2009-01-03 12:00:00,73,"Nottingham Centre","NOTT"
"62",2009-01-03 13:00:00,109,"Nottingham Centre","NOTT"
"63",2009-01-03 14:00:00,105,"Nottingham Centre","NOTT"
"64",2009-01-03 15:00:00,65,"Nottingham Centre","NOTT"
"65",2009-01-03 16:00:00,96,"Nottingham Centre","NOTT"
"66",2009-01-03 17:00:00,101,"Nottingham Centre","NOTT"
"67",2009-01-03 18:00:00,80,"Nottingham Centre","NOTT"
"68",2009-01-03 19:00:00,78,"Nottingham Centre","NOTT"
"69",2009-01-03 20:00:00,57,"Nottingham Centre","NOTT"
"70",2009-01-03 21:00:00,46,"Nottingham Centre","NOTT"
"71",2009-01-03 22:00:00,42,"Nottingham Centre","NOTT"
"72",2009-01-03 23:00:00,52,"Nottingham Centre","NOTT"
"73",2009-01-04 00:00:00,42,"Nottingham Centre","NOTT"
"74",2009-01-04 01:00:00,21,"Nottingham Centre","NOTT"
"75",2009-01-04 02:00:00,19,"Nottingham Centre","NOTT"
"76",2009-01-04 03:00:00,19,"Nottingham Centre","NOTT"
"77",2009-01-04 04:00:00,17,"Nottingham Centre","NOTT"
"78",2009-01-04 05:00:00,19,"Nottingham Centre","NOTT"
"79",2009-01-04 06:00:00,29,"Nottingham Centre","NOTT"
"80",2009-01-04 07:00:00,46,"Nottingham Centre","NOTT"
"81",2009-01-04 08:00:00,34,"Nottingham Centre","NOTT"
"82",2009-01-04 09:00:00,29,"Nottingham Centre","NOTT"
"83",2009-01-04 10:00:00,53,"Nottingham Centre","NOTT"
"84",2009-01-04 11:00:00,69,"Nottingham Centre","NOTT"
"85",2009-01-04 12:00:00,63,"Nottingham Centre","NOTT"
"86",2009-01-04 13:00:00,44,"Nottingham Centre","NOTT"
"87",2009-01-04 14:00:00,59,"Nottingham Centre","NOTT"
"88",2009-01-04 15:00:00,50,"Nottingham Centre","NOTT"
"89",2009-01-04 16:00:00,71,"Nottingham Centre","NOTT"
"90",2009-01-04 17:00:00,71,"Nottingham Centre","NOTT"
"91",2009-01-04 18:00:00,80,"Nottingham Centre","NOTT"
"92",2009-01-04 19:00:00,76,"Nottingham Centre","NOTT"
"93",2009-01-04 20:00:00,69,"Nottingham Centre","NOTT"
"94",2009-01-04 21:00:00,65,"Nottingham Centre","NOTT"
"95",2009-01-04 22:00:00,80,"Nottingham Centre","NOTT"
"96",2009-01-04 23:00:00,76,"Nottingham Centre","NOTT"
"97",2009-01-05 00:00:00,57,"Nottingham Centre","NOTT"
"98",2009-01-05 01:00:00,29,"Nottingham Centre","NOTT"
"99",2009-01-05 02:00:00,25,"Nottingham Centre","NOTT"
"100",2009-01-05 03:00:00,21,"Nottingham Centre","NOTT"
"101",2009-01-05 04:00:00,17,"Nottingham Centre","NOTT"
"102",2009-01-05 05:00:00,25,"Nottingham Centre","NOTT"
"103",2009-01-05 06:00:00,32,"Nottingham Centre","NOTT"
"104",2009-01-05 07:00:00,55,"Nottingham Centre","NOTT"
"105",2009-01-05 08:00:00,50,"Nottingham Centre","NOTT"
"106",2009-01-05 09:00:00,50,"Nottingham Centre","NOTT"
"107",2009-01-05 10:00:00,53,"Nottingham Centre","NOTT"
"108",2009-01-05 11:00:00,44,"Nottingham Centre","NOTT"
"109",2009-01-05 12:00:00,50,"Nottingham Centre","NOTT"
"110",2009-01-05 13:00:00,50,"Nottingham Centre","NOTT"
"111",2009-01-05 14:00:00,55,"Nottingham Centre","NOTT"
"112",2009-01-05 15:00:00,65,"Nottingham Centre","NOTT"
"113",2009-01-05 16:00:00,74,"Nottingham Centre","NOTT"
"114",2009-01-05 17:00:00,59,"Nottingham Centre","NOTT"
"115",2009-01-05 18:00:00,63,"Nottingham Centre","NOTT"
"116",2009-01-05 19:00:00,46,"Nottingham Centre","NOTT"
"117",2009-01-05 20:00:00,44,"Nottingham Centre","NOTT"
"118",2009-01-05 21:00:00,38,"Nottingham Centre","NOTT"
"119",2009-01-05 22:00:00,38,"Nottingham Centre","NOTT"
"120",2009-01-05 23:00:00,27,"Nottingham Centre","NOTT"
"121",2009-01-06 00:00:00,27,"Nottingham Centre","NOTT"
"122",2009-01-06 01:00:00,25,"Nottingham Centre","NOTT"
"123",2009-01-06 02:00:00,21,"Nottingham Centre","NOTT"
"124",2009-01-06 03:00:00,19,"Nottingham Centre","NOTT"
"125",2009-01-06 04:00:00,29,"Nottingham Centre","NOTT"
"126",2009-01-06 05:00:00,103,"Nottingham Centre","NOTT"
"127",2009-01-06 06:00:00,73,"Nottingham Centre","NOTT"
"128",2009-01-06 07:00:00,132,"Nottingham Centre","NOTT"
"129",2009-01-06 08:00:00,136,"Nottingham Centre","NOTT"
"130",2009-01-06 09:00:00,NA,"Nottingham Centre","NOTT"
"131",2009-01-06 10:00:00,NA,"Nottingham Centre","NOTT"
"132",2009-01-06 11:00:00,185,"Nottingham Centre","NOTT"
"133",2009-01-06 12:00:00,151,"Nottingham Centre","NOTT"
"134",2009-01-06 13:00:00,128,"Nottingham Centre","NOTT"
"135",2009-01-06 14:00:00,143,"Nottingham Centre","NOTT"
"136",2009-01-06 15:00:00,139,"Nottingham Centre","NOTT"
"137",2009-01-06 16:00:00,172,"Nottingham Centre","NOTT"
"138",2009-01-06 17:00:00,170,"Nottingham Centre","NOTT"
"139",2009-01-06 18:00:00,151,"Nottingham Centre","NOTT"
"140",2009-01-06 19:00:00,105,"Nottingham Centre","NOTT"
"141",2009-01-06 20:00:00,126,"Nottingham Centre","NOTT"
"142",2009-01-06 21:00:00,124,"Nottingham Centre","NOTT"
"143",2009-01-06 22:00:00,107,"Nottingham Centre","NOTT"
"144",2009-01-06 23:00:00,90,"Nottingham Centre","NOTT"
"145",2009-01-07 00:00:00,74,"Nottingham Centre","NOTT"
"146",2009-01-07 01:00:00,50,"Nottingham Centre","NOTT"
"147",2009-01-07 02:00:00,38,"Nottingham Centre","NOTT"
"148",2009-01-07 03:00:00,32,"Nottingham Centre","NOTT"
"149",2009-01-07 04:00:00,32,"Nottingham Centre","NOTT"
"150",2009-01-07 05:00:00,55,"Nottingham Centre","NOTT"
"151",2009-01-07 06:00:00,84,"Nottingham Centre","NOTT"
"152",2009-01-07 07:00:00,132,"Nottingham Centre","NOTT"
"153",2009-01-07 08:00:00,153,"Nottingham Centre","NOTT"
