"","date","nox","site","code"
"1",2009-01-01 00:00:00,NA,"Plymouth Centre","PLYM"
"2",2009-01-01 01:00:00,NA,"Plymouth Centre","PLYM"
"3",2009-01-01 02:00:00,NA,"Plymouth Centre","PLYM"
"4",2009-01-01 03:00:00,NA,"Plymouth Centre","PLYM"
"5",2009-01-01 04:00:00,NA,"Plymouth Centre","PLYM"
"6",2009-01-01 05:00:00,NA,"Plymouth Centre","PLYM"
"7",2009-01-01 06:00:00,NA,"Plymouth Centre","PLYM"
"8",2009-01-01 07:00:00,NA,"Plymouth Centre","PLYM"
"9",2009-01-01 08:00:00,NA,"Plymouth Centre","PLYM"
"10",2009-01-01 09:00:00,NA,"Plymouth Centre","PLYM"
"11",2009-01-01 10:00:00,NA,"Plymouth Centre","PLYM"
"12",2009-01-01 11:00:00,NA,"Plymouth Centre","PLYM"
"13",2009-01-01 12:00:00,NA,"Plymouth Centre","PLYM"
"14",2009-01-01 13:00:00,NA,"Plymouth Centre","PLYM"
"15",2009-01-01 14:00:00,NA,"Plymouth Centre","PLYM"
"16",2009-01-01 15:00:00,NA,"Plymouth Centre","PLYM"
"17",2009-01-01 16:00:00,NA,"Plymouth Centre","PLYM"
"18",2009-01-01 17:00:00,NA,"Plymouth Centre","PLYM"
"19",2009-01-01 18:00:00,NA,"Plymouth Centre","PLYM"
"20",2009-01-01 19:00:00,NA,"Plymouth Centre","PLYM"
"21",2009-01-01 20:00:00,NA,"Plymouth Centre","PLYM"
"22",2009-01-01 21:00:00,NA,"Plymouth Centre","PLYM"
"23",2009-01-01 22:00:00,NA,"Plymouth Centre","PLYM"
"24",2009-01-01 23:00:00,NA,"Plymouth Centre","PLYM"
"25",2009-01-02 00:00:00,NA,"Plymouth Centre","PLYM"
"26",2009-01-02 01:00:00,NA,"Plymouth Centre","PLYM"
"27",2009-01-02 02:00:00,NA,"Plymouth Centre","PLYM"
"28",2009-01-02 03:00:00,NA,"Plymouth Centre","PLYM"
"29",2009-01-02 04:00:00,NA,"Plymouth Centre","PLYM"
"30",2009-01-02 05:00:00,NA,"Plymouth Centre","PLYM"
"31",2009-01-02 06:00:00,NA,"Plymouth Centre","PLYM"
"32",2009-01-02 07:00:00,NA,"Plymouth Centre","PLYM"
"33",2009-01-02 08:00:00,NA,"Plymouth Centre","PLYM"
"34",2009-01-02 09:00:00,NA,"Plymouth Centre","PLYM"
"35",2009-01-02 10:00:00,NA,"Plymouth Centre","PLYM"
"36",2009-01-02 11:00:00,NA,"Plymouth Centre","PLYM"
"37",2009-01-02 12:00:00,NA,"Plymouth Centre","PLYM"
"38",2009-01-02 13:00:00,NA,"Plymouth Centre","PLYM"
"39",2009-01-02 14:00:00,NA,"Plymouth Centre","PLYM"
"40",2009-01-02 15:00:00,NA,"Plymouth Centre","PLYM"
"41",2009-01-02 16:00:00,NA,"Plymouth Centre","PLYM"
"42",2009-01-02 17:00:00,NA,"Plymouth Centre","PLYM"
"43",2009-01-02 18:00:00,NA,"Plymouth Centre","PLYM"
"44",2009-01-02 19:00:00,NA,"Plymouth Centre","PLYM"
"45",2009-01-02 20:00:00,NA,"Plymouth Centre","PLYM"
"46",2009-01-02 21:00:00,NA,"Plymouth Centre","PLYM"
"47",2009-01-02 22:00:00,NA,"Plymouth Centre","PLYM"
"48",2009-01-02 23:00:00,NA,"Plymouth Centre","PLYM"
"49",2009-01-03 00:00:00,NA,"Plymouth Centre","PLYM"
"50",2009-01-03 01:00:00,NA,"Plymouth Centre","PLYM"
