"","date","nox","site","code"
"1",2009-01-01 00:00:00,NA,"Rochester Stoke","ROCH"
"2",2009-01-01 01:00:00,NA,"Rochester Stoke","ROCH"
"3",2009-01-01 02:00:00,5.9,"Rochester Stoke","ROCH"
"4",2009-01-01 03:00:00,4.8,"Rochester Stoke","ROCH"
"5",2009-01-01 04:00:00,4.8,"Rochester Stoke","ROCH"
"6",2009-01-01 05:00:00,5.3,"Rochester Stoke","ROCH"
"7",2009-01-01 06:00:00,8.8,"Rochester Stoke","ROCH"
"8",2009-01-01 07:00:00,10.5,"Rochester Stoke","ROCH"
"9",2009-01-01 08:00:00,12.4,"Rochester Stoke","ROCH"
"10",2009-01-01 09:00:00,13,"Rochester Stoke","ROCH"
"11",2009-01-01 10:00:00,14.1,"Rochester Stoke","ROCH"
"12",2009-01-01 11:00:00,17,"Rochester Stoke","ROCH"
"13",2009-01-01 12:00:00,15.3,"Rochester Stoke","ROCH"
"14",2009-01-01 13:00:00,17.6,"Rochester Stoke","ROCH"
"15",2009-01-01 14:00:00,18.7,"Rochester Stoke","ROCH"
"16",2009-01-01 15:00:00,14.7,"Rochester Stoke","ROCH"
"17",2009-01-01 16:00:00,18.1,"Rochester Stoke","ROCH"
"18",2009-01-01 17:00:00,21.8,"Rochester Stoke","ROCH"
"19",2009-01-01 18:00:00,17.6,"Rochester Stoke","ROCH"
"20",2009-01-01 19:00:00,19.3,"Rochester Stoke","ROCH"
"21",2009-01-01 20:00:00,17.6,"Rochester Stoke","ROCH"
"22",2009-01-01 21:00:00,20.6,"Rochester Stoke","ROCH"
"23",2009-01-01 22:00:00,20.6,"Rochester Stoke","ROCH"
"24",2009-01-01 23:00:00,19.9,"Rochester Stoke","ROCH"
"25",2009-01-02 00:00:00,18.7,"Rochester Stoke","ROCH"
"26",2009-01-02 01:00:00,NA,"Rochester Stoke","ROCH"
"27",2009-01-02 02:00:00,17,"Rochester Stoke","ROCH"
"28",2009-01-02 03:00:00,14.1,"Rochester Stoke","ROCH"
"29",2009-01-02 04:00:00,14.9,"Rochester Stoke","ROCH"
"30",2009-01-02 05:00:00,11.8,"Rochester Stoke","ROCH"
"31",2009-01-02 06:00:00,14.7,"Rochester Stoke","ROCH"
"32",2009-01-02 07:00:00,16.4,"Rochester Stoke","ROCH"
"33",2009-01-02 08:00:00,14.9,"Rochester Stoke","ROCH"
"34",2009-01-02 09:00:00,17.6,"Rochester Stoke","ROCH"
"35",2009-01-02 10:00:00,17.6,"Rochester Stoke","ROCH"
"36",2009-01-02 11:00:00,15.9,"Rochester Stoke","ROCH"
"37",2009-01-02 12:00:00,15.9,"Rochester Stoke","ROCH"
"38",2009-01-02 13:00:00,15.3,"Rochester Stoke","ROCH"
"39",2009-01-02 14:00:00,11.8,"Rochester Stoke","ROCH"
"40",2009-01-02 15:00:00,13.6,"Rochester Stoke","ROCH"
"41",2009-01-02 16:00:00,11.3,"Rochester Stoke","ROCH"
"42",2009-01-02 17:00:00,9.4,"Rochester Stoke","ROCH"
"43",2009-01-02 18:00:00,7.3,"Rochester Stoke","ROCH"
"44",2009-01-02 19:00:00,7.1,"Rochester Stoke","ROCH"
"45",2009-01-02 20:00:00,9.4,"Rochester Stoke","ROCH"
"46",2009-01-02 21:00:00,13.6,"Rochester Stoke","ROCH"
"47",2009-01-02 22:00:00,10.7,"Rochester Stoke","ROCH"
"48",2009-01-02 23:00:00,9.9,"Rochester Stoke","ROCH"
"49",2009-01-03 00:00:00,10.9,"Rochester Stoke","ROCH"
"50",2009-01-03 01:00:00,NA,"Rochester Stoke","ROCH"
"51",2009-01-03 02:00:00,9.4,"Rochester Stoke","ROCH"
"52",2009-01-03 03:00:00,8.8,"Rochester Stoke","ROCH"
"53",2009-01-03 04:00:00,11.8,"Rochester Stoke","ROCH"
"54",2009-01-03 05:00:00,9.4,"Rochester Stoke","ROCH"
"55",2009-01-03 06:00:00,9.4,"Rochester Stoke","ROCH"
"56",2009-01-03 07:00:00,13.6,"Rochester Stoke","ROCH"
"57",2009-01-03 08:00:00,32.5,"Rochester Stoke","ROCH"
"58",2009-01-03 09:00:00,30,"Rochester Stoke","ROCH"
"59",2009-01-03 10:00:00,31.7,"Rochester Stoke","ROCH"
"60",2009-01-03 11:00:00,48.3,"Rochester Stoke","ROCH"
"61",2009-01-03 12:00:00,57.3,"Rochester Stoke","ROCH"
"62",2009-01-03 13:00:00,57.3,"Rochester Stoke","ROCH"
"63",2009-01-03 14:00:00,26.5,"Rochester Stoke","ROCH"
"64",2009-01-03 15:00:00,11.1,"Rochester Stoke","ROCH"
"65",2009-01-03 16:00:00,11.3,"Rochester Stoke","ROCH"
"66",2009-01-03 17:00:00,16.6,"Rochester Stoke","ROCH"
"67",2009-01-03 18:00:00,27.1,"Rochester Stoke","ROCH"
"68",2009-01-03 19:00:00,18.9,"Rochester Stoke","ROCH"
"69",2009-01-03 20:00:00,26.5,"Rochester Stoke","ROCH"
"70",2009-01-03 21:00:00,37.8,"Rochester Stoke","ROCH"
"71",2009-01-03 22:00:00,44.7,"Rochester Stoke","ROCH"
"72",2009-01-03 23:00:00,37.6,"Rochester Stoke","ROCH"
"73",2009-01-04 00:00:00,59,"Rochester Stoke","ROCH"
"74",2009-01-04 01:00:00,NA,"Rochester Stoke","ROCH"
"75",2009-01-04 02:00:00,102.6,"Rochester Stoke","ROCH"
"76",2009-01-04 03:00:00,129.7,"Rochester Stoke","ROCH"
"77",2009-01-04 04:00:00,123.8,"Rochester Stoke","ROCH"
"78",2009-01-04 05:00:00,93.6,"Rochester Stoke","ROCH"
"79",2009-01-04 06:00:00,73.2,"Rochester Stoke","ROCH"
"80",2009-01-04 07:00:00,56.5,"Rochester Stoke","ROCH"
"81",2009-01-04 08:00:00,50.6,"Rochester Stoke","ROCH"
"82",2009-01-04 09:00:00,57.1,"Rochester Stoke","ROCH"
"83",2009-01-04 10:00:00,68.4,"Rochester Stoke","ROCH"
"84",2009-01-04 11:00:00,73.2,"Rochester Stoke","ROCH"
"85",2009-01-04 12:00:00,70.1,"Rochester Stoke","ROCH"
"86",2009-01-04 13:00:00,64.4,"Rochester Stoke","ROCH"
"87",2009-01-04 14:00:00,90.9,"Rochester Stoke","ROCH"
"88",2009-01-04 15:00:00,98.4,"Rochester Stoke","ROCH"
"89",2009-01-04 16:00:00,79.1,"Rochester Stoke","ROCH"
"90",2009-01-04 17:00:00,76.2,"Rochester Stoke","ROCH"
"91",2009-01-04 18:00:00,76.6,"Rochester Stoke","ROCH"
"92",2009-01-04 19:00:00,79.6,"Rochester Stoke","ROCH"
"93",2009-01-04 20:00:00,80.2,"Rochester Stoke","ROCH"
"94",2009-01-04 21:00:00,80.2,"Rochester Stoke","ROCH"
"95",2009-01-04 22:00:00,83.3,"Rochester Stoke","ROCH"
"96",2009-01-04 23:00:00,87.3,"Rochester Stoke","ROCH"
"97",2009-01-05 00:00:00,96.8,"Rochester Stoke","ROCH"
"98",2009-01-05 01:00:00,NA,"Rochester Stoke","ROCH"
"99",2009-01-05 02:00:00,42.6,"Rochester Stoke","ROCH"
"100",2009-01-05 03:00:00,39.2,"Rochester Stoke","ROCH"
"101",2009-01-05 04:00:00,35.5,"Rochester Stoke","ROCH"
"102",2009-01-05 05:00:00,22,"Rochester Stoke","ROCH"
"103",2009-01-05 06:00:00,18.9,"Rochester Stoke","ROCH"
"104",2009-01-05 07:00:00,15.3,"Rochester Stoke","ROCH"
"105",2009-01-05 08:00:00,14.3,"Rochester Stoke","ROCH"
"106",2009-01-05 09:00:00,5.3,"Rochester Stoke","ROCH"
"107",2009-01-05 10:00:00,5.3,"Rochester Stoke","ROCH"
"108",2009-01-05 11:00:00,5,"Rochester Stoke","ROCH"
"109",2009-01-05 12:00:00,4.8,"Rochester Stoke","ROCH"
"110",2009-01-05 13:00:00,4.8,"Rochester Stoke","ROCH"
"111",2009-01-05 14:00:00,4.8,"Rochester Stoke","ROCH"
"112",2009-01-05 15:00:00,4.8,"Rochester Stoke","ROCH"
"113",2009-01-05 16:00:00,5,"Rochester Stoke","ROCH"
"114",2009-01-05 17:00:00,4.8,"Rochester Stoke","ROCH"
"115",2009-01-05 18:00:00,5.3,"Rochester Stoke","ROCH"
"116",2009-01-05 19:00:00,6.5,"Rochester Stoke","ROCH"
"117",2009-01-05 20:00:00,5.9,"Rochester Stoke","ROCH"
"118",2009-01-05 21:00:00,5.9,"Rochester Stoke","ROCH"
"119",2009-01-05 22:00:00,7.6,"Rochester Stoke","ROCH"
"120",2009-01-05 23:00:00,8.2,"Rochester Stoke","ROCH"
"121",2009-01-06 00:00:00,7.8,"Rochester Stoke","ROCH"
"122",2009-01-06 01:00:00,NA,"Rochester Stoke","ROCH"
"123",2009-01-06 02:00:00,9,"Rochester Stoke","ROCH"
"124",2009-01-06 03:00:00,9.4,"Rochester Stoke","ROCH"
"125",2009-01-06 04:00:00,9.9,"Rochester Stoke","ROCH"
"126",2009-01-06 05:00:00,5.3,"Rochester Stoke","ROCH"
"127",2009-01-06 06:00:00,17.8,"Rochester Stoke","ROCH"
"128",2009-01-06 07:00:00,21.2,"Rochester Stoke","ROCH"
"129",2009-01-06 08:00:00,27.1,"Rochester Stoke","ROCH"
"130",2009-01-06 09:00:00,30.8,"Rochester Stoke","ROCH"
"131",2009-01-06 10:00:00,25.4,"Rochester Stoke","ROCH"
"132",2009-01-06 11:00:00,6.5,"Rochester Stoke","ROCH"
"133",2009-01-06 12:00:00,5.9,"Rochester Stoke","ROCH"
"134",2009-01-06 13:00:00,9.4,"Rochester Stoke","ROCH"
"135",2009-01-06 14:00:00,7.8,"Rochester Stoke","ROCH"
"136",2009-01-06 15:00:00,12.4,"Rochester Stoke","ROCH"
"137",2009-01-06 16:00:00,26,"Rochester Stoke","ROCH"
"138",2009-01-06 17:00:00,36.1,"Rochester Stoke","ROCH"
"139",2009-01-06 18:00:00,59.8,"Rochester Stoke","ROCH"
"140",2009-01-06 19:00:00,53.1,"Rochester Stoke","ROCH"
"141",2009-01-06 20:00:00,78.1,"Rochester Stoke","ROCH"
"142",2009-01-06 21:00:00,65.1,"Rochester Stoke","ROCH"
"143",2009-01-06 22:00:00,66.3,"Rochester Stoke","ROCH"
"144",2009-01-06 23:00:00,128.2,"Rochester Stoke","ROCH"
"145",2009-01-07 00:00:00,184.5,"Rochester Stoke","ROCH"
"146",2009-01-07 01:00:00,NA,"Rochester Stoke","ROCH"
"147",2009-01-07 02:00:00,197.7,"Rochester Stoke","ROCH"
"148",2009-01-07 03:00:00,147.8,"Rochester Stoke","ROCH"
"149",2009-01-07 04:00:00,139.2,"Rochester Stoke","ROCH"
"150",2009-01-07 05:00:00,149.7,"Rochester Stoke","ROCH"
"151",2009-01-07 06:00:00,122,"Rochester Stoke","ROCH"
"152",2009-01-07 07:00:00,125.5,"Rochester Stoke","ROCH"
"153",2009-01-07 08:00:00,106,"Rochester Stoke","ROCH"
"154",2009-01-07 09:00:00,115.9,"Rochester Stoke","ROCH"
"155",2009-01-07 10:00:00,NA,"Rochester Stoke","ROCH"
"156",2009-01-07 11:00:00,NA,"Rochester Stoke","ROCH"
"157",2009-01-07 12:00:00,55.6,"Rochester Stoke","ROCH"
"158",2009-01-07 13:00:00,46.8,"Rochester Stoke","ROCH"
"159",2009-01-07 14:00:00,46.2,"Rochester Stoke","ROCH"
"160",2009-01-07 15:00:00,50.2,"Rochester Stoke","ROCH"
"161",2009-01-07 16:00:00,62.6,"Rochester Stoke","ROCH"
"162",2009-01-07 17:00:00,73.3,"Rochester Stoke","ROCH"
