"","date","nox","site","code"
"1",2009-01-01 00:00:00,105,"Bristol Old Market","BRS2"
"2",2009-01-01 01:00:00,120,"Bristol Old Market","BRS2"
"3",2009-01-01 02:00:00,130,"Bristol Old Market","BRS2"
"4",2009-01-01 03:00:00,124,"Bristol Old Market","BRS2"
"5",2009-01-01 04:00:00,111,"Bristol Old Market","BRS2"
"6",2009-01-01 05:00:00,94,"Bristol Old Market","BRS2"
"7",2009-01-01 06:00:00,84,"Bristol Old Market","BRS2"
"8",2009-01-01 07:00:00,71,"Bristol Old Market","BRS2"
"9",2009-01-01 08:00:00,82,"Bristol Old Market","BRS2"
"10",2009-01-01 09:00:00,99,"Bristol Old Market","BRS2"
"11",2009-01-01 10:00:00,78,"Bristol Old Market","BRS2"
"12",2009-01-01 11:00:00,117,"Bristol Old Market","BRS2"
"13",2009-01-01 12:00:00,139,"Bristol Old Market","BRS2"
"14",2009-01-01 13:00:00,195,"Bristol Old Market","BRS2"
"15",2009-01-01 14:00:00,153,"Bristol Old Market","BRS2"
"16",2009-01-01 15:00:00,178,"Bristol Old Market","BRS2"
"17",2009-01-01 16:00:00,168,"Bristol Old Market","BRS2"
"18",2009-01-01 17:00:00,105,"Bristol Old Market","BRS2"
"19",2009-01-01 18:00:00,82,"Bristol Old Market","BRS2"
"20",2009-01-01 19:00:00,80,"Bristol Old Market","BRS2"
"21",2009-01-01 20:00:00,86,"Bristol Old Market","BRS2"
"22",2009-01-01 21:00:00,80,"Bristol Old Market","BRS2"
"23",2009-01-01 22:00:00,71,"Bristol Old Market","BRS2"
"24",2009-01-01 23:00:00,61,"Bristol Old Market","BRS2"
"25",2009-01-02 00:00:00,53,"Bristol Old Market","BRS2"
"26",2009-01-02 01:00:00,59,"Bristol Old Market","BRS2"
"27",2009-01-02 02:00:00,63,"Bristol Old Market","BRS2"
"28",2009-01-02 03:00:00,57,"Bristol Old Market","BRS2"
"29",2009-01-02 04:00:00,111,"Bristol Old Market","BRS2"
"30",2009-01-02 05:00:00,168,"Bristol Old Market","BRS2"
"31",2009-01-02 06:00:00,134,"Bristol Old Market","BRS2"
"32",2009-01-02 07:00:00,214,"Bristol Old Market","BRS2"
"33",2009-01-02 08:00:00,218,"Bristol Old Market","BRS2"
"34",2009-01-02 09:00:00,246,"Bristol Old Market","BRS2"
"35",2009-01-02 10:00:00,309,"Bristol Old Market","BRS2"
"36",2009-01-02 11:00:00,464,"Bristol Old Market","BRS2"
"37",2009-01-02 12:00:00,296,"Bristol Old Market","BRS2"
"38",2009-01-02 13:00:00,338,"Bristol Old Market","BRS2"
"39",2009-01-02 14:00:00,288,"Bristol Old Market","BRS2"
"40",2009-01-02 15:00:00,267,"Bristol Old Market","BRS2"
"41",2009-01-02 16:00:00,309,"Bristol Old Market","BRS2"
"42",2009-01-02 17:00:00,250,"Bristol Old Market","BRS2"
