"","date","nox","site","code"
"1",2009-01-01 00:00:00,NA,"Bath Roadside","BATH"
"2",2009-01-01 01:00:00,82,"Bath Roadside","BATH"
"3",2009-01-01 02:00:00,55,"Bath Roadside","BATH"
"4",2009-01-01 03:00:00,32,"Bath Roadside","BATH"
"5",2009-01-01 04:00:00,32,"Bath Roadside","BATH"
"6",2009-01-01 05:00:00,27,"Bath Roadside","BATH"
"7",2009-01-01 06:00:00,31,"Bath Roadside","BATH"
"8",2009-01-01 07:00:00,31,"Bath Roadside","BATH"
"9",2009-01-01 08:00:00,40,"Bath Roadside","BATH"
"10",2009-01-01 09:00:00,46,"Bath Roadside","BATH"
"11",2009-01-01 10:00:00,73,"Bath Roadside","BATH"
"12",2009-01-01 11:00:00,136,"Bath Roadside","BATH"
"13",2009-01-01 12:00:00,NA,"Bath Roadside","BATH"
"14",2009-01-01 13:00:00,117,"Bath Roadside","BATH"
"15",2009-01-01 14:00:00,71,"Bath Roadside","BATH"
"16",2009-01-01 15:00:00,74,"Bath Roadside","BATH"
"17",2009-01-01 16:00:00,107,"Bath Roadside","BATH"
"18",2009-01-01 17:00:00,109,"Bath Roadside","BATH"
"19",2009-01-01 18:00:00,73,"Bath Roadside","BATH"
"20",2009-01-01 19:00:00,84,"Bath Roadside","BATH"
"21",2009-01-01 20:00:00,132,"Bath Roadside","BATH"
"22",2009-01-01 21:00:00,115,"Bath Roadside","BATH"
"23",2009-01-01 22:00:00,86,"Bath Roadside","BATH"
"24",2009-01-01 23:00:00,94,"Bath Roadside","BATH"
"25",2009-01-02 00:00:00,53,"Bath Roadside","BATH"
"26",2009-01-02 01:00:00,46,"Bath Roadside","BATH"
"27",2009-01-02 02:00:00,55,"Bath Roadside","BATH"
"28",2009-01-02 03:00:00,65,"Bath Roadside","BATH"
"29",2009-01-02 04:00:00,86,"Bath Roadside","BATH"
"30",2009-01-02 05:00:00,134,"Bath Roadside","BATH"
"31",2009-01-02 06:00:00,155,"Bath Roadside","BATH"
"32",2009-01-02 07:00:00,287,"Bath Roadside","BATH"
"33",2009-01-02 08:00:00,252,"Bath Roadside","BATH"
"34",2009-01-02 09:00:00,353,"Bath Roadside","BATH"
"35",2009-01-02 10:00:00,NA,"Bath Roadside","BATH"
"36",2009-01-02 11:00:00,NA,"Bath Roadside","BATH"
"37",2009-01-02 12:00:00,275,"Bath Roadside","BATH"
"38",2009-01-02 13:00:00,216,"Bath Roadside","BATH"
"39",2009-01-02 14:00:00,187,"Bath Roadside","BATH"
"40",2009-01-02 15:00:00,317,"Bath Roadside","BATH"
"41",2009-01-02 16:00:00,225,"Bath Roadside","BATH"
"42",2009-01-02 17:00:00,145,"Bath Roadside","BATH"
"43",2009-01-02 18:00:00,206,"Bath Roadside","BATH"
"44",2009-01-02 19:00:00,176,"Bath Roadside","BATH"
"45",2009-01-02 20:00:00,128,"Bath Roadside","BATH"
"46",2009-01-02 21:00:00,84,"Bath Roadside","BATH"
"47",2009-01-02 22:00:00,73,"Bath Roadside","BATH"
"48",2009-01-02 23:00:00,86,"Bath Roadside","BATH"
"49",2009-01-03 00:00:00,97,"Bath Roadside","BATH"
"50",2009-01-03 01:00:00,80,"Bath Roadside","BATH"
"51",2009-01-03 02:00:00,52,"Bath Roadside","BATH"
"52",2009-01-03 03:00:00,44,"Bath Roadside","BATH"
"53",2009-01-03 04:00:00,76,"Bath Roadside","BATH"
"54",2009-01-03 05:00:00,97,"Bath Roadside","BATH"
"55",2009-01-03 06:00:00,109,"Bath Roadside","BATH"
"56",2009-01-03 07:00:00,149,"Bath Roadside","BATH"
"57",2009-01-03 08:00:00,216,"Bath Roadside","BATH"
"58",2009-01-03 09:00:00,183,"Bath Roadside","BATH"
"59",2009-01-03 10:00:00,189,"Bath Roadside","BATH"
"60",2009-01-03 11:00:00,214,"Bath Roadside","BATH"
"61",2009-01-03 12:00:00,212,"Bath Roadside","BATH"
"62",2009-01-03 13:00:00,216,"Bath Roadside","BATH"
"63",2009-01-03 14:00:00,256,"Bath Roadside","BATH"
"64",2009-01-03 15:00:00,355,"Bath Roadside","BATH"
"65",2009-01-03 16:00:00,399,"Bath Roadside","BATH"
"66",2009-01-03 17:00:00,460,"Bath Roadside","BATH"
"67",2009-01-03 18:00:00,414,"Bath Roadside","BATH"
"68",2009-01-03 19:00:00,292,"Bath Roadside","BATH"
"69",2009-01-03 20:00:00,334,"Bath Roadside","BATH"
"70",2009-01-03 21:00:00,258,"Bath Roadside","BATH"
"71",2009-01-03 22:00:00,246,"Bath Roadside","BATH"
"72",2009-01-03 23:00:00,227,"Bath Roadside","BATH"
"73",2009-01-04 00:00:00,212,"Bath Roadside","BATH"
"74",2009-01-04 01:00:00,138,"Bath Roadside","BATH"
"75",2009-01-04 02:00:00,111,"Bath Roadside","BATH"
"76",2009-01-04 03:00:00,126,"Bath Roadside","BATH"
"77",2009-01-04 04:00:00,94,"Bath Roadside","BATH"
"78",2009-01-04 05:00:00,97,"Bath Roadside","BATH"
"79",2009-01-04 06:00:00,101,"Bath Roadside","BATH"
"80",2009-01-04 07:00:00,138,"Bath Roadside","BATH"
"81",2009-01-04 08:00:00,170,"Bath Roadside","BATH"
"82",2009-01-04 09:00:00,244,"Bath Roadside","BATH"
"83",2009-01-04 10:00:00,401,"Bath Roadside","BATH"
"84",2009-01-04 11:00:00,378,"Bath Roadside","BATH"
"85",2009-01-04 12:00:00,279,"Bath Roadside","BATH"
"86",2009-01-04 13:00:00,334,"Bath Roadside","BATH"
"87",2009-01-04 14:00:00,382,"Bath Roadside","BATH"
"88",2009-01-04 15:00:00,388,"Bath Roadside","BATH"
"89",2009-01-04 16:00:00,346,"Bath Roadside","BATH"
"90",2009-01-04 17:00:00,327,"Bath Roadside","BATH"
"91",2009-01-04 18:00:00,317,"Bath Roadside","BATH"
"92",2009-01-04 19:00:00,355,"Bath Roadside","BATH"
"93",2009-01-04 20:00:00,288,"Bath Roadside","BATH"
"94",2009-01-04 21:00:00,264,"Bath Roadside","BATH"
"95",2009-01-04 22:00:00,235,"Bath Roadside","BATH"
"96",2009-01-04 23:00:00,285,"Bath Roadside","BATH"
"97",2009-01-05 00:00:00,174,"Bath Roadside","BATH"
"98",2009-01-05 01:00:00,NA,"Bath Roadside","BATH"
"99",2009-01-05 02:00:00,82,"Bath Roadside","BATH"
"100",2009-01-05 03:00:00,82,"Bath Roadside","BATH"
"101",2009-01-05 04:00:00,109,"Bath Roadside","BATH"
"102",2009-01-05 05:00:00,80,"Bath Roadside","BATH"
"103",2009-01-05 06:00:00,187,"Bath Roadside","BATH"
"104",2009-01-05 07:00:00,265,"Bath Roadside","BATH"
