"","date","nox","site","code"
"1",2009-01-01 00:00:00,73,"Leicester Centre","LEIC"
"2",2009-01-01 01:00:00,69,"Leicester Centre","LEIC"
"3",2009-01-01 02:00:00,69,"Leicester Centre","LEIC"
"4",2009-01-01 03:00:00,73,"Leicester Centre","LEIC"
"5",2009-01-01 04:00:00,82,"Leicester Centre","LEIC"
"6",2009-01-01 05:00:00,74,"Leicester Centre","LEIC"
"7",2009-01-01 06:00:00,78,"Leicester Centre","LEIC"
"8",2009-01-01 07:00:00,88,"Leicester Centre","LEIC"
"9",2009-01-01 08:00:00,97,"Leicester Centre","LEIC"
"10",2009-01-01 09:00:00,109,"Leicester Centre","LEIC"
"11",2009-01-01 10:00:00,120,"Leicester Centre","LEIC"
"12",2009-01-01 11:00:00,120,"Leicester Centre","LEIC"
"13",2009-01-01 12:00:00,117,"Leicester Centre","LEIC"
"14",2009-01-01 13:00:00,115,"Leicester Centre","LEIC"
"15",2009-01-01 14:00:00,105,"Leicester Centre","LEIC"
"16",2009-01-01 15:00:00,101,"Leicester Centre","LEIC"
"17",2009-01-01 16:00:00,94,"Leicester Centre","LEIC"
"18",2009-01-01 17:00:00,94,"Leicester Centre","LEIC"
"19",2009-01-01 18:00:00,92,"Leicester Centre","LEIC"
"20",2009-01-01 19:00:00,78,"Leicester Centre","LEIC"
"21",2009-01-01 20:00:00,69,"Leicester Centre","LEIC"
"22",2009-01-01 21:00:00,76,"Leicester Centre","LEIC"
"23",2009-01-01 22:00:00,74,"Leicester Centre","LEIC"
"24",2009-01-01 23:00:00,67,"Leicester Centre","LEIC"
"25",2009-01-02 00:00:00,67,"Leicester Centre","LEIC"
"26",2009-01-02 01:00:00,71,"Leicester Centre","LEIC"
"27",2009-01-02 02:00:00,71,"Leicester Centre","LEIC"
"28",2009-01-02 03:00:00,69,"Leicester Centre","LEIC"
"29",2009-01-02 04:00:00,69,"Leicester Centre","LEIC"
"30",2009-01-02 05:00:00,63,"Leicester Centre","LEIC"
"31",2009-01-02 06:00:00,63,"Leicester Centre","LEIC"
"32",2009-01-02 07:00:00,84,"Leicester Centre","LEIC"
"33",2009-01-02 08:00:00,120,"Leicester Centre","LEIC"
"34",2009-01-02 09:00:00,143,"Leicester Centre","LEIC"
"35",2009-01-02 10:00:00,126,"Leicester Centre","LEIC"
"36",2009-01-02 11:00:00,94,"Leicester Centre","LEIC"
"37",2009-01-02 12:00:00,78,"Leicester Centre","LEIC"
"38",2009-01-02 13:00:00,55,"Leicester Centre","LEIC"
"39",2009-01-02 14:00:00,48,"Leicester Centre","LEIC"
"40",2009-01-02 15:00:00,71,"Leicester Centre","LEIC"
"41",2009-01-02 16:00:00,78,"Leicester Centre","LEIC"
"42",2009-01-02 17:00:00,90,"Leicester Centre","LEIC"
"43",2009-01-02 18:00:00,69,"Leicester Centre","LEIC"
"44",2009-01-02 19:00:00,71,"Leicester Centre","LEIC"
"45",2009-01-02 20:00:00,99,"Leicester Centre","LEIC"
"46",2009-01-02 21:00:00,92,"Leicester Centre","LEIC"
"47",2009-01-02 22:00:00,86,"Leicester Centre","LEIC"
"48",2009-01-02 23:00:00,101,"Leicester Centre","LEIC"
"49",2009-01-03 00:00:00,88,"Leicester Centre","LEIC"
"50",2009-01-03 01:00:00,80,"Leicester Centre","LEIC"
"51",2009-01-03 02:00:00,80,"Leicester Centre","LEIC"
"52",2009-01-03 03:00:00,96,"Leicester Centre","LEIC"
"53",2009-01-03 04:00:00,105,"Leicester Centre","LEIC"
"54",2009-01-03 05:00:00,94,"Leicester Centre","LEIC"
"55",2009-01-03 06:00:00,101,"Leicester Centre","LEIC"
"56",2009-01-03 07:00:00,141,"Leicester Centre","LEIC"
"57",2009-01-03 08:00:00,199,"Leicester Centre","LEIC"
"58",2009-01-03 09:00:00,252,"Leicester Centre","LEIC"
"59",2009-01-03 10:00:00,237,"Leicester Centre","LEIC"
"60",2009-01-03 11:00:00,218,"Leicester Centre","LEIC"
"61",2009-01-03 12:00:00,143,"Leicester Centre","LEIC"
"62",2009-01-03 13:00:00,69,"Leicester Centre","LEIC"
"63",2009-01-03 14:00:00,69,"Leicester Centre","LEIC"
"64",2009-01-03 15:00:00,88,"Leicester Centre","LEIC"
"65",2009-01-03 16:00:00,74,"Leicester Centre","LEIC"
"66",2009-01-03 17:00:00,52,"Leicester Centre","LEIC"
"67",2009-01-03 18:00:00,55,"Leicester Centre","LEIC"
"68",2009-01-03 19:00:00,48,"Leicester Centre","LEIC"
"69",2009-01-03 20:00:00,59,"Leicester Centre","LEIC"
"70",2009-01-03 21:00:00,52,"Leicester Centre","LEIC"
"71",2009-01-03 22:00:00,42,"Leicester Centre","LEIC"
"72",2009-01-03 23:00:00,42,"Leicester Centre","LEIC"
"73",2009-01-04 00:00:00,53,"Leicester Centre","LEIC"
"74",2009-01-04 01:00:00,46,"Leicester Centre","LEIC"
"75",2009-01-04 02:00:00,40,"Leicester Centre","LEIC"
"76",2009-01-04 03:00:00,48,"Leicester Centre","LEIC"
"77",2009-01-04 04:00:00,40,"Leicester Centre","LEIC"
"78",2009-01-04 05:00:00,44,"Leicester Centre","LEIC"
"79",2009-01-04 06:00:00,48,"Leicester Centre","LEIC"
"80",2009-01-04 07:00:00,92,"Leicester Centre","LEIC"
"81",2009-01-04 08:00:00,130,"Leicester Centre","LEIC"
"82",2009-01-04 09:00:00,105,"Leicester Centre","LEIC"
"83",2009-01-04 10:00:00,132,"Leicester Centre","LEIC"
"84",2009-01-04 11:00:00,105,"Leicester Centre","LEIC"
"85",2009-01-04 12:00:00,73,"Leicester Centre","LEIC"
"86",2009-01-04 13:00:00,69,"Leicester Centre","LEIC"
"87",2009-01-04 14:00:00,57,"Leicester Centre","LEIC"
"88",2009-01-04 15:00:00,59,"Leicester Centre","LEIC"
"89",2009-01-04 16:00:00,69,"Leicester Centre","LEIC"
"90",2009-01-04 17:00:00,69,"Leicester Centre","LEIC"
"91",2009-01-04 18:00:00,71,"Leicester Centre","LEIC"
"92",2009-01-04 19:00:00,86,"Leicester Centre","LEIC"
"93",2009-01-04 20:00:00,84,"Leicester Centre","LEIC"
"94",2009-01-04 21:00:00,80,"Leicester Centre","LEIC"
"95",2009-01-04 22:00:00,63,"Leicester Centre","LEIC"
"96",2009-01-04 23:00:00,53,"Leicester Centre","LEIC"
"97",2009-01-05 00:00:00,44,"Leicester Centre","LEIC"
"98",2009-01-05 01:00:00,44,"Leicester Centre","LEIC"
"99",2009-01-05 02:00:00,29,"Leicester Centre","LEIC"
"100",2009-01-05 03:00:00,25,"Leicester Centre","LEIC"
"101",2009-01-05 04:00:00,21,"Leicester Centre","LEIC"
"102",2009-01-05 05:00:00,23,"Leicester Centre","LEIC"
"103",2009-01-05 06:00:00,32,"Leicester Centre","LEIC"
"104",2009-01-05 07:00:00,46,"Leicester Centre","LEIC"
"105",2009-01-05 08:00:00,76,"Leicester Centre","LEIC"
"106",2009-01-05 09:00:00,78,"Leicester Centre","LEIC"
"107",2009-01-05 10:00:00,61,"Leicester Centre","LEIC"
"108",2009-01-05 11:00:00,53,"Leicester Centre","LEIC"
"109",2009-01-05 12:00:00,50,"Leicester Centre","LEIC"
"110",2009-01-05 13:00:00,40,"Leicester Centre","LEIC"
"111",2009-01-05 14:00:00,46,"Leicester Centre","LEIC"
"112",2009-01-05 15:00:00,53,"Leicester Centre","LEIC"
"113",2009-01-05 16:00:00,40,"Leicester Centre","LEIC"
"114",2009-01-05 17:00:00,53,"Leicester Centre","LEIC"
"115",2009-01-05 18:00:00,55,"Leicester Centre","LEIC"
"116",2009-01-05 19:00:00,40,"Leicester Centre","LEIC"
"117",2009-01-05 20:00:00,44,"Leicester Centre","LEIC"
"118",2009-01-05 21:00:00,38,"Leicester Centre","LEIC"
"119",2009-01-05 22:00:00,36,"Leicester Centre","LEIC"
"120",2009-01-05 23:00:00,29,"Leicester Centre","LEIC"
"121",2009-01-06 00:00:00,21,"Leicester Centre","LEIC"
"122",2009-01-06 01:00:00,23,"Leicester Centre","LEIC"
"123",2009-01-06 02:00:00,27,"Leicester Centre","LEIC"
"124",2009-01-06 03:00:00,25,"Leicester Centre","LEIC"
"125",2009-01-06 04:00:00,48,"Leicester Centre","LEIC"
"126",2009-01-06 05:00:00,73,"Leicester Centre","LEIC"
"127",2009-01-06 06:00:00,138,"Leicester Centre","LEIC"
"128",2009-01-06 07:00:00,243,"Leicester Centre","LEIC"
"129",2009-01-06 08:00:00,336,"Leicester Centre","LEIC"
"130",2009-01-06 09:00:00,342,"Leicester Centre","LEIC"
"131",2009-01-06 10:00:00,329,"Leicester Centre","LEIC"
"132",2009-01-06 11:00:00,225,"Leicester Centre","LEIC"
"133",2009-01-06 12:00:00,113,"Leicester Centre","LEIC"
"134",2009-01-06 13:00:00,90,"Leicester Centre","LEIC"
"135",2009-01-06 14:00:00,134,"Leicester Centre","LEIC"
"136",2009-01-06 15:00:00,155,"Leicester Centre","LEIC"
"137",2009-01-06 16:00:00,145,"Leicester Centre","LEIC"
"138",2009-01-06 17:00:00,189,"Leicester Centre","LEIC"
"139",2009-01-06 18:00:00,172,"Leicester Centre","LEIC"
"140",2009-01-06 19:00:00,166,"Leicester Centre","LEIC"
"141",2009-01-06 20:00:00,153,"Leicester Centre","LEIC"
