"","date","nox","site","code"
"1",2009-01-01 00:00:00,82,"Stoke-on-Trent Centre","STOK"
"2",2009-01-01 01:00:00,74,"Stoke-on-Trent Centre","STOK"
"3",2009-01-01 02:00:00,73,"Stoke-on-Trent Centre","STOK"
"4",2009-01-01 03:00:00,48,"Stoke-on-Trent Centre","STOK"
"5",2009-01-01 04:00:00,55,"Stoke-on-Trent Centre","STOK"
"6",2009-01-01 05:00:00,63,"Stoke-on-Trent Centre","STOK"
"7",2009-01-01 06:00:00,53,"Stoke-on-Trent Centre","STOK"
"8",2009-01-01 07:00:00,52,"Stoke-on-Trent Centre","STOK"
"9",2009-01-01 08:00:00,52,"Stoke-on-Trent Centre","STOK"
"10",2009-01-01 09:00:00,57,"Stoke-on-Trent Centre","STOK"
"11",2009-01-01 10:00:00,63,"Stoke-on-Trent Centre","STOK"
"12",2009-01-01 11:00:00,69,"Stoke-on-Trent Centre","STOK"
"13",2009-01-01 12:00:00,67,"Stoke-on-Trent Centre","STOK"
"14",2009-01-01 13:00:00,73,"Stoke-on-Trent Centre","STOK"
"15",2009-01-01 14:00:00,71,"Stoke-on-Trent Centre","STOK"
"16",2009-01-01 15:00:00,76,"Stoke-on-Trent Centre","STOK"
"17",2009-01-01 16:00:00,76,"Stoke-on-Trent Centre","STOK"
"18",2009-01-01 17:00:00,73,"Stoke-on-Trent Centre","STOK"
"19",2009-01-01 18:00:00,82,"Stoke-on-Trent Centre","STOK"
"20",2009-01-01 19:00:00,99,"Stoke-on-Trent Centre","STOK"
"21",2009-01-01 20:00:00,136,"Stoke-on-Trent Centre","STOK"
"22",2009-01-01 21:00:00,88,"Stoke-on-Trent Centre","STOK"
"23",2009-01-01 22:00:00,67,"Stoke-on-Trent Centre","STOK"
"24",2009-01-01 23:00:00,61,"Stoke-on-Trent Centre","STOK"
"25",2009-01-02 00:00:00,42,"Stoke-on-Trent Centre","STOK"
"26",2009-01-02 01:00:00,17,"Stoke-on-Trent Centre","STOK"
"27",2009-01-02 02:00:00,15,"Stoke-on-Trent Centre","STOK"
"28",2009-01-02 03:00:00,13,"Stoke-on-Trent Centre","STOK"
"29",2009-01-02 04:00:00,13,"Stoke-on-Trent Centre","STOK"
"30",2009-01-02 05:00:00,27,"Stoke-on-Trent Centre","STOK"
"31",2009-01-02 06:00:00,36,"Stoke-on-Trent Centre","STOK"
"32",2009-01-02 07:00:00,27,"Stoke-on-Trent Centre","STOK"
"33",2009-01-02 08:00:00,38,"Stoke-on-Trent Centre","STOK"
"34",2009-01-02 09:00:00,27,"Stoke-on-Trent Centre","STOK"
"35",2009-01-02 10:00:00,48,"Stoke-on-Trent Centre","STOK"
"36",2009-01-02 11:00:00,115,"Stoke-on-Trent Centre","STOK"
"37",2009-01-02 12:00:00,59,"Stoke-on-Trent Centre","STOK"
"38",2009-01-02 13:00:00,48,"Stoke-on-Trent Centre","STOK"
"39",2009-01-02 14:00:00,50,"Stoke-on-Trent Centre","STOK"
"40",2009-01-02 15:00:00,65,"Stoke-on-Trent Centre","STOK"
"41",2009-01-02 16:00:00,82,"Stoke-on-Trent Centre","STOK"
"42",2009-01-02 17:00:00,71,"Stoke-on-Trent Centre","STOK"
"43",2009-01-02 18:00:00,48,"Stoke-on-Trent Centre","STOK"
"44",2009-01-02 19:00:00,44,"Stoke-on-Trent Centre","STOK"
"45",2009-01-02 20:00:00,36,"Stoke-on-Trent Centre","STOK"
"46",2009-01-02 21:00:00,34,"Stoke-on-Trent Centre","STOK"
"47",2009-01-02 22:00:00,29,"Stoke-on-Trent Centre","STOK"
"48",2009-01-02 23:00:00,32,"Stoke-on-Trent Centre","STOK"
"49",2009-01-03 00:00:00,31,"Stoke-on-Trent Centre","STOK"
"50",2009-01-03 01:00:00,32,"Stoke-on-Trent Centre","STOK"
"51",2009-01-03 02:00:00,42,"Stoke-on-Trent Centre","STOK"
"52",2009-01-03 03:00:00,52,"Stoke-on-Trent Centre","STOK"
"53",2009-01-03 04:00:00,34,"Stoke-on-Trent Centre","STOK"
"54",2009-01-03 05:00:00,38,"Stoke-on-Trent Centre","STOK"
"55",2009-01-03 06:00:00,76,"Stoke-on-Trent Centre","STOK"
"56",2009-01-03 07:00:00,86,"Stoke-on-Trent Centre","STOK"
"57",2009-01-03 08:00:00,111,"Stoke-on-Trent Centre","STOK"
"58",2009-01-03 09:00:00,134,"Stoke-on-Trent Centre","STOK"
"59",2009-01-03 10:00:00,94,"Stoke-on-Trent Centre","STOK"
